close,high,low,open,volume,baseVolume,datetime
9194.98,9195.03,9192.73,9193.75,18.71,172017.89,2020-07-02 12:21:00
9192.98,9194.98,9191.51,9194.98,15.84,145630.02,2020-07-02 12:22:00
9193.38,9194.41,9191.1,9192.98,9.043,83133.31,2020-07-02 12:23:00
9188.04,9193.38,9186.52,9193.38,18.4,169110.2,2020-07-02 12:24:00
9182.22,9188.12,9181.62,9188.04,21.25,195172.67,2020-07-02 12:25:00
9184.17,9184.93,9181.47,9182.22,13.12,120450.86,2020-07-02 12:26:00
9184.0,9186.09,9184.0,9184.17,12.93,118721.56,2020-07-02 12:27:00
9181.48,9185.1,9181.01,9184.0,18.63,171056.21,2020-07-02 12:28:00
9181.99,9183.45,9180.54,9181.48,19.08,175158.66,2020-07-02 12:29:00
9209.31,9209.31,9181.99,9181.99,169.15,1555822.41,2020-07-02 12:30:00
9207.22,9211.03,9202.09,9209.31,94.22,867397.6,2020-07-02 12:31:00
9225.19,9227.0,9207.21,9207.22,141.0,1299849.26,2020-07-02 12:32:00
9229.7,9234.0,9216.06,9225.19,122.59,1130811.15,2020-07-02 12:33:00
9223.47,9232.07,9220.9,9229.7,44.38,409431.66,2020-07-02 12:34:00
9224.32,9228.59,9219.35,9223.47,45.3,417854.74,2020-07-02 12:35:00
9222.75,9227.54,9220.26,9224.32,29.92,275975.14,2020-07-02 12:36:00
9222.55,9226.95,9216.64,9222.75,55.05,507630.6,2020-07-02 12:37:00
9224.57,9224.97,9221.87,9222.55,27.2,250911.21,2020-07-02 12:38:00
9225.51,9228.0,9224.29,9224.57,16.81,155071.0,2020-07-02 12:39:00
9230.0,9230.0,9221.32,9225.51,45.22,417203.57,2020-07-02 12:40:00
9228.71,9233.93,9227.93,9230.0,59.18,546286.06,2020-07-02 12:41:00
9228.47,9235.0,9228.0,9228.71,54.52,503330.08,2020-07-02 12:42:00
9228.58,9231.33,9225.69,9228.47,15.66,144470.14,2020-07-02 12:43:00
9230.6,9230.6,9223.1,9228.58,29.25,269840.51,2020-07-02 12:44:00
9237.89,9237.89,9230.0,9230.6,48.0,443216.14,2020-07-02 12:45:00
9240.5,9240.5,9236.48,9237.89,51.99,480378.0,2020-07-02 12:46:00
